Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
China,Sweet potatoes,2018,713.62,80.64,27.52,121650.2
France,Yams,2013,2022.49,7.9,30.77,40395.3
United States,Cassava,2010,1928.95,52.29,12.18,86015.3
Germany,Plantains and others,2005,851.76,9.75,28.08,71594.0
China,Sweet potatoes,1992,2607.83,62.02,23.71,43743.8
France,Plantains and others,1991,2115.85,34.0,15.17,51384.4
Argentina,Yams,2003,1294.97,15.06,31.64,48458.7
Indonesia,Wheat,2018,2914.84,79.61,36.43,7462.1
South Africa,Wheat,2020,2781.25,9.63,17.1,15100.6
Argentina,Potatoes,2013,1198.91,21.49,26.11,181228.2
Japan,Sorghum,2004,662.75,5.79,23.01,15202.1
India,Rice,1997,2241.22,78.76,13.93,21245.9
Australia,Sweet potatoes,2017,2616.69,53.82,20.6,76378.2
France,Yams,2011,2684.2,36.95,15.11,42480.7
India,Rice,1994,1771.58,78.69,24.84,33616.0
Germany,Plantains and others,2002,764.81,118.05,24.36,99357.2
South Africa,Wheat,2012,1892.37,43.81,17.28,26773.0
Indonesia,Rice,2017,2803.15,87.54,28.47,24735.7
Germany,Cassava,2017,811.63,31.94,34.97,53371.9
Nigeria,Sorghum,2022,961.97,57.16,12.01,22124.2
Brazil,Sorghum,1995,1630.09,32.01,17.77,14724.5
Mexico,Cassava,2001,904.99,39.38,19.82,116054.5
Mexico,Maize,2006,946.99,192.78,22.69,54153.3
Brazil,Maize,1991,1686.62,34.69,26.38,34508.6
China,Sweet potatoes,2000,1235.03,18.86,32.88,60508.3
Canada,Cassava,2005,2538.85,24.34,16.85,56123.2
China,Rice,2008,2191.22,87.91,21.07,33856.9
India,Yams,2000,1154.99,11.02,36.04,33523.4
Brazil,Plantains and others,1996,2047.96,89.97,26.44,38849.4
France,Soybeans,2021,1972.68,25.7,21.08,19923.2
China,Rice,2013,1332.62,114.36,34.12,36528.9
Brazil,Sorghum,2014,214.17,13.77,26.27,16788.5
Brazil,Cassava,2005,2984.48,14.67,12.47,36425.2
Mexico,Yams,1996,2218.63,23.41,26.11,41335.5
Indonesia,Rice,2011,883.17,185.62,22.22,60270.7
France,Potatoes,2019,2006.29,60.27,34.47,62807.3
China,Rice,2006,2984.74,36.74,19.27,17602.9
Mexico,Soybeans,2018,1398.92,175.04,37.05,14895.4
China,Maize,2010,734.55,20.63,24.62,44155.4
Australia,Cassava,1992,1796.17,10.11,27.99,61527.2
Nigeria,Cassava,1991,911.66,22.5,20.39,131864.1
Nigeria,Plantains and others,2015,2468.32,105.9,35.74,22372.4
Nigeria,Plantains and others,2009,2019.9,65.53,32.69,30902.6
United States,Potatoes,2021,1819.18,6.83,24.11,178722.6
Australia,Cassava,2011,900.7,6.98,19.88,117509.3
France,Yams,1994,1480.34,97.27,17.05,95686.3
Nigeria,Rice,2005,2932.39,41.31,20.4,20076.3
Nigeria,Plantains and others,2015,270.98,169.37,33.74,46630.4
Germany,Sorghum,1990,685.22,13.51,18.51,21121.3
Japan,Yams,1990,2873.62,71.95,26.41,32329.9
Japan,Cassava,1992,893.65,27.0,31.7,57482.4
Australia,Plantains and others,2010,1525.72,14.51,23.28,96927.3
Australia,Sweet potatoes,1999,2857.61,113.88,18.78,87997.5
Mexico,Wheat,2005,1998.77,6.34,27.23,18208.4
Mexico,Wheat,2001,1286.88,56.54,23.91,34091.5
India,Rice,2022,2024.16,16.58,19.12,41135.3
Japan,Potatoes,2012,399.33,24.21,33.97,71454.5
United States,Soybeans,2000,2656.92,71.41,32.89,8873.8
China,Sorghum,1999,1385.72,47.03,26.97,13469.8
Nigeria,Maize,2021,1154.25,138.51,34.32,46663.9
Nigeria,Maize,2002,2271.74,18.61,21.82,23697.5
Indonesia,Sorghum,2002,2707.47,29.65,12.28,10280.0
Brazil,Sorghum,2001,1193.73,162.1,29.6,11369.6
France,Soybeans,2001,1120.26,60.82,31.56,16354.2
Egypt,Sweet potatoes,2003,1738.68,34.13,35.08,56159.9
Australia,Sorghum,2006,483.14,9.39,30.23,12808.0
Egypt,Plantains and others,2016,2177.48,9.24,14.21,63626.4
Egypt,Sweet potatoes,1993,1180.61,66.58,24.52,153307.5
Nigeria,Cassava,2016,896.43,25.04,23.3,138646.6
China,Plantains and others,2017,2348.15,91.52,31.35,19606.5
Japan,Rice,2017,2894.08,28.49,19.43,17956.1
Australia,Cassava,2021,1756.81,24.48,13.13,111857.6
Canada,Soybeans,2008,2914.05,42.02,28.36,11724.3
Indonesia,Soybeans,1992,2723.24,7.33,19.31,12089.4
Indonesia,Yams,2001,498.92,25.45,16.41,103698.6
Germany,Potatoes,2017,1208.97,20.05,23.78,235147.7
Egypt,Maize,2022,1351.38,51.16,19.04,60611.8
Argentina,Soybeans,2014,1371.08,139.95,34.52,20752.6
Nigeria,Soybeans,2022,2377.29,37.73,37.62,6944.4
Indonesia,Sorghum,2016,1793.43,8.28,12.96,16137.2
France,Maize,1995,2136.8,43.22,31.5,22202.1
France,Soybeans,1999,2579.01,19.21,23.71,11171.6
Brazil,Maize,2002,780.24,110.28,31.68,40298.7
Indonesia,Cassava,1992,1656.46,100.59,26.35,92347.0
South Africa,Soybeans,2019,2417.09,49.57,24.48,13284.0
Canada,Potatoes,2023,1181.65,49.57,22.2,245622.6
Argentina,Rice,2023,1175.12,41.08,32.37,50808.6
India,Rice,1994,2430.12,35.75,33.89,15895.2
Germany,Maize,2009,1485.58,200.68,24.81,56432.1
Argentina,Rice,2012,558.53,13.24,15.61,31508.6
China,Yams,1993,1167.87,118.55,24.32,80151.9
Brazil,Plantains and others,2008,2501.01,26.16,21.04,38449.0
France,Cassava,1995,537.78,35.88,17.36,113450.4
Australia,Sorghum,2011,428.93,108.41,35.94,7486.3
Australia,Maize,1990,436.65,50.48,37.64,22647.8
Germany,Plantains and others,2012,1687.54,68.74,13.62,81167.5
Brazil,Yams,1996,2124.06,98.04,31.49,26280.6
Nigeria,Sorghum,2017,256.2,24.44,17.5,19102.4
South Africa,Plantains and others,2014,2693.48,50.02,29.66,27002.7
Argentina,Wheat,2011,1843.16,73.41,23.22,31565.7
Australia,Rice,1995,2719.01,51.77,18.35,15089.6
India,Sorghum,2011,830.93,27.73,24.68,20103.2
Nigeria,Yams,1998,424.65,42.17,22.67,109363.3
Argentina,Wheat,1995,2930.19,38.74,30.8,8250.2
United States,Sorghum,2004,1698.1,37.37,33.8,6823.4
India,Wheat,2001,521.54,52.16,19.5,37760.6
South Africa,Soybeans,2000,2809.64,24.33,27.44,9337.3
Nigeria,Soybeans,1999,2971.89,24.46,33.06,7441.3
Argentina,Maize,1998,2328.64,50.27,24.26,17718.7
France,Maize,2003,2812.23,240.14,17.33,17153.3
Brazil,Rice,1990,2275.14,47.72,33.89,19449.1
France,Rice,1994,859.94,55.22,35.6,25251.9
Japan,Sorghum,2014,2112.35,35.07,30.56,7106.1
Nigeria,Maize,2004,1816.96,26.95,22.18,45736.6
South Africa,Potatoes,1995,2831.53,54.4,20.71,77251.3
China,Maize,2019,2702.9,82.7,15.94,17095.3
Japan,Maize,2016,2283.05,6.71,26.82,21856.3
Indonesia,Maize,2002,509.77,98.69,15.31,46056.9
Argentina,Yams,2018,1711.61,38.31,22.63,106157.5
Canada,Plantains and others,2016,1167.95,15.02,35.62,53288.7
Indonesia,Cassava,1997,1386.07,21.98,27.99,94940.2
Germany,Yams,2001,486.2,130.51,32.54,46973.3
Mexico,Soybeans,2017,1248.42,8.57,14.01,18714.3
Indonesia,Wheat,2012,2778.36,106.97,25.49,15589.3
Argentina,Yams,2010,1262.06,73.18,17.35,118596.5
Argentina,Rice,2014,2617.85,133.17,24.11,24449.1
Canada,Potatoes,2006,1843.79,6.67,35.73,69236.8
Indonesia,Wheat,2013,1072.12,80.82,19.22,40391.0
Germany,Plantains and others,2010,1642.49,190.54,23.93,92522.6
India,Yams,1996,1867.08,8.47,31.5,39815.4
Brazil,Yams,2021,1511.05,54.04,21.82,103127.9
South Africa,Maize,1991,1696.48,37.8,24.92,40219.1
Argentina,Rice,1993,709.4,103.95,36.6,20358.9
Germany,Potatoes,2022,271.08,13.49,30.62,116047.5
India,Yams,1992,847.01,60.72,12.51,91985.7
Brazil,Rice,2022,1758.82,68.79,32.94,35456.7
South Africa,Yams,2021,2595.95,93.66,22.33,43020.0
United States,Sweet potatoes,1996,1973.07,71.57,34.05,46547.8
China,Rice,2018,1379.99,116.59,33.25,34027.7
Brazil,Potatoes,2012,295.84,93.79,20.97,172960.6
United States,Sorghum,2011,2383.32,11.07,26.71,7606.3
United States,Maize,2006,952.3,44.0,28.47,55847.3
Egypt,Sweet potatoes,2011,2537.8,213.03,25.67,69963.8
United States,Cassava,2010,2482.15,39.47,13.75,49948.8
Egypt,Soybeans,2001,777.98,5.55,15.56,27234.2
France,Sorghum,1996,1805.22,96.04,22.51,16371.4
South Africa,Plantains and others,1991,665.59,71.98,14.15,70755.9
Canada,Soybeans,2000,1195.88,68.48,19.73,29636.5
Indonesia,Rice,2023,1310.62,159.05,15.51,44419.3
Brazil,Wheat,2006,1589.83,50.42,20.69,29707.6
United States,Plantains and others,1998,410.39,70.13,24.88,82468.7
Brazil,Sweet potatoes,1992,417.74,5.12,37.16,56060.1
United States,Cassava,2001,1210.73,9.8,35.85,45709.0
Brazil,Yams,1997,1989.06,76.16,30.83,36392.8
Mexico,Cassava,2014,2729.42,57.02,30.02,35334.9
Nigeria,Plantains and others,2006,705.61,46.96,35.8,43227.7
Nigeria,Soybeans,1998,739.28,11.12,22.97,30167.9
Nigeria,Wheat,2007,1662.82,56.72,28.9,26605.6
Brazil,Yams,2023,2678.0,42.78,23.47,49067.5
India,Yams,1993,2414.02,24.19,28.27,25906.7
Germany,Plantains and others,1991,268.32,107.05,12.55,72997.3
Canada,Rice,2018,2348.13,30.7,24.48,39219.3
Mexico,Sorghum,1999,456.76,25.5,25.59,13808.7
China,Potatoes,2007,854.1,7.15,12.46,162108.6
Argentina,Sorghum,2013,548.43,161.65,32.75,10304.8
Mexico,Sweet potatoes,2013,1508.72,52.52,16.34,132329.6
China,Wheat,1997,2839.65,57.44,27.8,8902.5
Egypt,Potatoes,2015,302.85,162.64,33.48,99461.0
France,Soybeans,2012,2674.6,136.38,37.87,4962.0
United States,Potatoes,2006,630.91,89.6,17.84,208158.6
Japan,Yams,2014,1860.23,48.39,14.38,72736.8
Brazil,Sorghum,2014,2586.14,6.8,20.56,8303.9
France,Sorghum,2000,443.56,31.25,21.69,19708.0
United States,Plantains and others,1995,2893.94,10.8,35.26,14399.9
United States,Maize,2021,1645.02,123.5,26.85,55781.3
Indonesia,Maize,2013,2432.79,58.71,34.12,20860.1
Japan,Sorghum,2014,2804.25,10.59,30.17,5129.8
Egypt,Plantains and others,2020,2512.29,11.9,20.71,49551.5
Argentina,Sweet potatoes,2007,2490.31,94.23,25.19,62584.2
Mexico,Maize,2020,1254.75,5.46,33.29,39536.2
Brazil,Cassava,2019,251.6,33.3,33.84,41506.1
Japan,Soybeans,2011,2824.24,63.22,13.76,7320.8
Germany,Maize,2011,2184.0,37.08,13.51,22106.4
Japan,Wheat,2001,268.84,6.12,20.41,26628.1
Canada,Rice,2012,1448.53,20.98,37.93,20663.9
Argentina,Sweet potatoes,2018,2142.31,17.47,14.14,73988.2
Indonesia,Wheat,2000,965.13,155.66,15.93,43956.2
Canada,Soybeans,2009,1313.26,21.03,37.58,13392.9
Australia,Maize,2004,2288.34,16.18,34.57,16239.8
Germany,Yams,2014,2632.14,79.94,32.04,27512.4
China,Potatoes,1996,1953.42,12.03,12.85,106940.4
South Africa,Sorghum,2003,1875.32,51.74,18.44,15173.1
Indonesia,Sorghum,2011,1829.52,20.67,32.74,7721.4
France,Yams,2007,2105.28,30.17,37.34,21323.5
Canada,Cassava,2014,2608.34,80.67,13.03,51514.4
Germany,Maize,2021,251.43,37.92,17.47,45634.0
Australia,Maize,2021,2835.47,8.76,25.89,23446.5
United States,Sweet potatoes,2015,2130.5,85.62,17.2,114385.3
Germany,Sweet potatoes,2000,547.82,118.27,27.46,140708.5
United States,Sorghum,2001,2638.71,67.6,32.84,4306.8
Canada,Sweet potatoes,2009,1748.4,50.5,32.38,65774.4
South Africa,Plantains and others,2000,2229.51,49.98,28.91,30703.0
Japan,Sorghum,2008,2932.42,25.54,16.74,8184.7
Germany,Rice,2007,258.41,57.96,20.64,39912.3
Egypt,Yams,1992,428.27,30.81,17.73,98368.8
Germany,Sweet potatoes,2019,2890.19,31.88,34.0,28542.5
China,Soybeans,2017,1238.91,224.7,13.04,18626.1
Australia,Wheat,2023,1562.67,108.35,35.42,17763.4
Nigeria,Cassava,2001,1274.77,36.35,33.74,56795.4
South Africa,Wheat,2012,1971.11,28.33,25.33,20406.5
France,Soybeans,2003,1641.49,27.25,27.42,21329.5
Germany,Sorghum,1991,2602.36,5.45,27.3,5353.3
China,Yams,2012,1470.61,18.46,13.91,89232.6
Germany,Plantains and others,2019,608.12,34.84,27.28,77672.1
Egypt,Maize,2009,1262.2,51.51,21.28,67894.2
Germany,Yams,2017,2619.81,45.84,26.04,42915.9
United States,Wheat,2003,359.84,42.88,36.35,15563.2
India,Soybeans,2003,2126.98,30.32,24.48,15355.9
Egypt,Potatoes,2018,2630.17,35.32,25.41,111278.6
Nigeria,Wheat,2005,2831.5,71.01,16.22,16454.1
India,Soybeans,1997,637.26,18.37,37.05,13590.2
Australia,Sweet potatoes,1999,249.04,19.0,33.6,52836.2
India,Yams,2001,516.71,84.36,35.89,45291.8
France,Soybeans,2015,1176.01,13.68,27.73,27583.6
India,Sorghum,2014,2638.11,81.25,26.74,8026.2
South Africa,Cassava,1993,2069.26,87.47,31.82,35521.8
Nigeria,Sorghum,2008,2632.92,28.55,19.72,8528.0
Germany,Maize,1996,1777.63,28.94,26.26,41501.9
India,Maize,2021,1245.11,17.89,13.9,44682.1
United States,Plantains and others,1998,1263.4,104.51,25.5,95577.0
Germany,Cassava,2018,1155.49,28.92,22.37,146661.4
Indonesia,Sweet potatoes,2010,748.18,5.38,28.83,156960.3
China,Sorghum,2000,1264.21,15.98,24.46,15552.8
France,Wheat,2016,2802.9,42.99,27.1,12478.2
China,Plantains and others,2019,2205.22,20.92,22.75,46416.6
Nigeria,Plantains and others,2002,716.84,22.5,32.63,46549.1
Mexico,Plantains and others,2009,1553.93,86.99,26.31,76682.9
Indonesia,Sweet potatoes,2010,2675.78,17.94,17.51,73571.4
Mexico,Plantains and others,1997,2355.85,45.67,18.65,40605.7
Germany,Wheat,1999,2466.68,77.76,15.89,13460.0
